index,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Coordinates,StreetType,WeekdaySale,MonthSale,AgeBuilding,Weekend
19,Abbotsford,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019,"-37.8011, 145.0004",St,5,9,31,1
20,Abbotsford,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019,"-37.8073, 144.9952",St,5,3,117,1
21,Abbotsford,3,t,900000.0,S,other,2017-03-18,2.5,3067,3,2,2,0.0,126.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,"-37.8093, 144.9959",St,5,3,7,1
22,Abbotsford,3,u,1090000.0,S,Jellis,2017-03-18,2.5,3067,3,2,2,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,"-37.8078, 144.9965",St,5,3,47,1
23,Abbotsford,2,u,500000.0,S,Collins,2016-06-18,2.5,3067,2,1,1,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019,"-37.8015, 144.9972",St,5,6,46,1
24,Abbotsford,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,"-37.8079, 144.9977",St,5,6,3,1
25,Abbotsford,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019,"-37.808, 144.994",St,5,11,116,1
26,Abbotsford,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,"-37.8016, 144.9988",St,0,8,46,0
27,Abbotsford,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019,"-37.8017, 145.0001",St,0,8,4,0
28,Abbotsford,1,u,457000.0,S,Jellis,2016-08-22,2.5,3067,1,1,1,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,"-37.8078, 144.9965",St,0,8,46,0
29,Abbotsford,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019,"-37.8005, 144.9952",St,0,8,96,0
30,Abbotsford,4,h,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,0.0,126.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019,"-37.7994, 144.9965",St,5,9,46,1
31,Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,2,2,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019,"-37.805, 144.9943",St,5,2,47,1
32,Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019,"-37.8007, 144.9958",St,5,2,67,1
33,Abbotsford,1,u,470000.0,S,Nelson,2016-07-26,2.5,3067,1,1,1,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019,"-37.8055, 144.9961",St,1,7,3,0
34,Abbotsford,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,"-37.8016, 144.9956",St,6,11,116,1
35,Abbotsford,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,"-37.8022, 144.9954",St,6,11,18,1
36,Abbotsford,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,"-37.8021, 144.9976",St,5,5,116,1
37,Abbotsford,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,"-37.8086, 144.9946",St,5,7,86,1
38,Airport West,3,t,840000.0,PI,Nelson,2016-09-03,13.5,3042,3,2,1,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,"-37.718, 144.878",Rd,5,9,0,1
39,Airport West,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042,3,2,1,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,"-37.7203, 144.8755",St,5,12,51,1
40,Airport West,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042,3,2,1,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,"-37.7203, 144.8755",St,5,3,52,1
41,Airport West,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042,2,1,1,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,"-37.7294, 144.888",St,5,3,67,1
42,Airport West,3,t,700000.0,S,Brad,2017-03-04,13.5,3042,3,2,2,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,"-37.7218, 144.8837",St,5,3,8,1
43,Airport West,3,h,600000.0,S,other,2017-03-04,13.5,3042,2,1,1,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,"-37.7273, 144.8744",Gr,5,3,37,1
44,Airport West,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042,2,1,1,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,"-37.7215, 144.8864",St,5,3,6,1
45,Airport West,3,h,720000.0,S,Barry,2016-08-06,13.5,3042,2,1,1,620.0,126.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,"-37.7173, 144.8872",Rd,5,8,46,1
46,Airport West,4,h,785000.0,S,other,2016-08-06,13.5,3042,3,1,2,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,"-37.7259, 144.8792",Rd,5,8,46,1
47,Airport West,6,h,725000.0,SP,Barry,2016-05-07,13.5,3042,6,3,2,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,"-37.7239, 144.8735",Rd,5,5,36,1
48,Airport West,2,t,450000.0,S,Barry,2016-05-07,13.5,3042,2,1,1,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,"-37.7216, 144.871",Rd,5,5,1,1
49,Airport West,2,u,515000.0,S,Barry,2016-11-07,13.5,3042,2,1,1,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,"-37.7298, 144.8883",St,0,11,3,0
50,Airport West,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042,2,1,1,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,"-37.7234, 144.8792",Rd,5,9,4,1
51,Airport West,3,h,895000.0,PI,Rendina,2016-09-10,13.5,3042,3,1,6,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,"-37.7249, 144.8728",Ct,5,9,41,1
52,Airport West,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042,3,1,1,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,"-37.7217, 144.8783",St,5,12,66,1
53,Airport West,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042,3,1,1,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,"-37.7302, 144.8855",St,5,2,24,1
54,Airport West,2,u,440000.0,S,Barry,2016-08-13,13.5,3042,2,1,1,192.0,126.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,"-37.7177, 144.8787",Rd,5,8,46,1
55,Airport West,5,h,755000.0,PI,other,2016-05-14,13.5,3042,3,2,2,596.0,126.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,"-37.7248, 144.8699",Rd,5,5,46,1
56,Airport West,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,"-37.727, 144.887",St,5,10,7,1
57,Airport West,3,h,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,"-37.7186, 144.876",Rd,5,4,56,1
58,Airport West,2,u,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,126.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,"-37.7218, 144.8863",St,5,7,13,1
59,Airport West,3,h,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,126.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,"-37.7269, 144.8742",Gr,5,7,46,1
60,Airport West,2,h,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,"-37.7187, 144.8765",Rd,5,7,41,1
61,Airport West,3,h,1042000.0,S,Nelson,2016-07-16,13.5,3042,3,2,5,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,"-37.7173, 144.8796",Rd,5,7,66,1
62,Airport West,3,h,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,126.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,"-37.7231, 144.8835",St,5,9,46,1
63,Airport West,4,h,773000.0,S,Brad,2016-09-17,13.5,3042,5,3,4,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,"-37.7263, 144.8679",St,5,9,36,1
64,Airport West,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,"-37.7285, 144.8694",Rd,5,3,37,1
65,Airport West,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,"-37.7164, 144.8792",Rd,5,3,22,1
66,Airport West,3,h,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,126.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,"-37.7194, 144.8827",Rd,5,3,47,1
67,Airport West,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,"-37.7231, 144.8802",Rd,5,6,6,1
68,Airport West,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,"-37.72, 144.8776",St,5,11,56,1
69,Airport West,3,h,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,"-37.7226, 144.8733",Rd,6,5,41,1
70,Airport West,3,h,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,126.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,"-37.7184, 144.882",Rd,0,8,46,0
71,Airport West,2,u,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,"-37.7202, 144.8797",St,0,8,46,0
72,Airport West,3,h,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,126.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,"-37.7181, 144.8824",Rd,0,8,46,0
73,Airport West,3,h,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,126.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,"-37.7169, 144.8815",Rd,5,4,46,1
74,Airport West,4,h,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,126.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,"-37.7263, 144.869",Dr,5,9,46,1
75,Airport West,3,h,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,126.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,"-37.72, 144.878",St,5,2,47,1
76,Airport West,4,h,765000.0,S,other,2016-11-27,13.5,3042,4,1,2,509.0,126.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,"-37.7261, 144.8785",Rd,6,11,46,1
77,Airport West,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,"-37.7256, 144.8739",Rd,6,11,41,1
78,Albert Park,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,"-37.8459, 144.9555",Rd,5,9,116,1
79,Albert Park,2,h,1455000.0,S,Thomson,2016-09-03,3.3,3206,2,1,0,159.0,126.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,"-37.845, 144.9538",St,5,9,46,1
80,Albert Park,3,h,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3,2,0,211.0,198.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,"-37.8481, 144.9499",Pde,5,3,127,1
81,Albert Park,3,h,1850000.0,S,Greg,2017-03-04,3.3,3206,3,2,0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,"-37.8452, 144.9488",St,5,3,127,1
82,Albert Park,2,h,1436000.0,S,RT,2017-03-04,3.3,3206,2,1,0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,"-37.8431, 144.9565",St,5,3,117,1
83,Albert Park,2,h,1110000.0,S,Marshall,2016-08-06,3.3,3206,1,1,0,147.0,126.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,"-37.8444, 144.9484",St,5,8,116,1
84,Albert Park,2,h,1550000.0,S,other,2016-05-07,3.3,3206,2,1,1,167.0,126.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,"-37.8405, 144.9521",St,5,5,46,1
85,Albert Park,4,h,2300000.0,S,Marshall,2016-05-07,3.3,3206,4,2,1,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,"-37.8447, 144.9523",St,5,5,136,1
86,Albert Park,3,t,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718.0,126.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,"-37.8443, 144.9598",St,0,11,46,0
87,Albert Park,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206,3,2,1,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,"-37.8415, 144.952",St,0,11,20,0
88,Albert Park,2,h,2120000.0,S,Greg,2016-09-10,3.3,3206,2,1,1,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,"-37.8422, 144.9554",St,5,9,116,1
89,Albert Park,3,h,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253.0,126.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,"-37.8443, 144.9579",St,5,9,46,1
90,Albert Park,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206,3,2,1,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,"-37.8421, 144.9571",Pl,5,9,116,1
91,Albert Park,2,h,1810000.0,PI,Greg,2016-12-10,3.3,3206,2,1,0,240.0,126.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,"-37.8379, 144.9539",St,5,12,46,1
92,Albert Park,3,h,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3,2,1,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,"-37.8415, 144.9585",Pl,5,12,136,1
93,Albert Park,5,h,2100000.0,S,Greg,2016-12-10,3.3,3206,5,2,1,237.0,126.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,"-37.8436, 144.9557",St,5,12,46,1
94,Albert Park,3,h,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129.0,126.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280,"-37.8422, 144.949",St,5,12,46,1
95,Albert Park,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206,3,2,2,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,"-37.8451, 144.9511",other,6,6,16,1
96,Albert Park,2,h,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288.0,126.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,"-37.8407, 144.9523",St,5,11,46,1
97,Albert Park,3,h,2575000.0,S,Greg,2016-10-15,3.3,3206,3,2,1,228.0,126.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,"-37.8445, 144.9501",St,5,10,46,1
98,Albert Park,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,"-37.8443, 144.9481",St,5,10,126,1
99,Albert Park,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,"-37.8424, 144.9562",St,5,10,126,1
100,Albert Park,3,h,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,"-37.847, 144.9575",St,5,4,116,1
101,Albert Park,3,h,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,126.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,"-37.8468, 144.9546",Rd,5,3,117,1
102,Albert Park,3,h,3010000.0,S,Greg,2017-03-18,3.3,3206,3,2,0,147.0,146.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,"-37.8473, 144.9551",St,5,3,127,1
103,Albert Park,4,h,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327.0,254.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,"-37.8467, 144.9475",St,5,6,106,1
104,Albert Park,2,u,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,0.0,126.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280,"-37.846, 144.9542",Rd,6,5,46,1
105,Albert Park,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280,"-37.8427, 144.9546",St,5,4,116,1
106,Albert Park,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280,"-37.8461, 144.9528",St,5,9,126,1
107,Albert Park,1,u,442500.0,S,Marshall,2017-02-25,3.3,3206,1,1,0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280,"-37.8421, 144.9517",St,5,2,47,1
108,Albert Park,4,h,4735000.0,S,Marshall,2017-02-25,3.3,3206,4,2,1,330.0,207.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280,"-37.8477, 144.9558",St,5,2,107,1
109,Albert Park,2,h,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,126.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280,"-37.846, 144.9517",St,5,2,47,1
110,Albert Park,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,126.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280,"-37.8429, 144.9493",St,5,2,47,1
111,Albert Park,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,0.0,126.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,"-37.8415, 144.9585",Pl,1,7,46,0
112,Albert Park,3,h,3755000.0,S,Greg,2016-07-26,3.3,3206,3,2,2,325.0,126.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280,"-37.8413, 144.95",St,1,7,46,0
113,Albert Park,4,h,2140000.0,S,Greg,2016-06-27,3.3,3206,3,2,1,183.0,145.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280,"-37.8434, 144.9495",St,0,6,136,0
114,Albert Park,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,126.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280,"-37.8416, 144.9488",St,6,11,46,1
115,Albert Park,2,h,980000.0,S,Greg,2016-05-28,3.3,3206,2,1,0,79.0,68.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,"-37.8387, 144.9519",St,5,5,126,1
116,Albert Park,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,126.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280,"-37.8488, 144.9551",St,6,8,46,1
117,Albert Park,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280,"-37.8448, 144.9453",St,6,8,126,1
118,Albert Park,3,h,2800000.0,VB,Buxton,2016-07-30,3.3,3206,3,3,1,0.0,126.0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280,"-37.8399, 144.9577",St,5,7,46,1
119,Albert Park,1,h,985000.0,S,Marshall,2016-07-30,3.3,3206,1,1,0,81.0,54.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280,"-37.8411, 144.9497",St,5,7,116,1
120,Alphington,4,h,2000000.0,S,other,2016-09-03,6.4,3078,3,2,4,853.0,263.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,"-37.7707, 145.0318",St,5,9,86,1
121,Alphington,3,h,1110000.0,S,Jellis,2016-09-03,6.4,3078,3,2,2,208.0,126.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211,"-37.7854, 145.0325",St,5,9,3,1
122,Alphington,3,h,1492000.0,S,Jellis,2017-03-04,6.4,3078,3,2,2,411.0,126.0,Darebin,-37.7713,145.0279,Northern Metropolitan,2211,"-37.7713, 145.0279",Rd,5,3,47,1
123,Alphington,4,h,1717500.0,S,Collins,2016-10-08,6.4,3078,4,2,1,599.0,203.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211,"-37.7717, 145.031",St,5,10,91,1
124,Alphington,5,h,2840000.0,S,Nelson,2016-06-12,6.4,3078,5,4,4,809.0,165.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211,"-37.775, 145.0268",Rd,6,6,106,1
125,Alphington,2,u,525500.0,S,Miles,2016-11-12,6.4,3078,2,1,1,88.0,60.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211,"-37.7791, 145.0306",St,5,11,56,1
126,Alphington,2,t,805000.0,S,Miles,2016-11-12,6.4,3078,2,2,3,155.0,140.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211,"-37.7804, 145.0308",St,5,11,12,1
127,Alphington,2,u,465000.0,S,McGrath,2016-11-12,6.4,3078,2,1,1,0.0,126.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,"-37.7773, 145.0314",Rd,5,11,46,1
128,Alphington,3,h,2000000.0,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,686.0,126.0,Darebin,-37.78,145.0341,Northern Metropolitan,2211,"-37.78, 145.0341",Rd,5,10,46,1
